App,Database,NLP (Machine Learning),IDE / Development tool,Desktop Application,Web Framework,Library,CI/CD
K-9 Mail,Alluxio,Antlr4,Arduino,bisq,Dropwizard,RxJava,GoCD
Jitsi,Druid,CoreNLP,Bazel,eclipse pde ui,Tomcat,Elasticsearch,hibernate
,Realm Java,LanguageTool,Buck,PMD,Spring Security,Equinox Framework,jenkins
,OrientDB,,Dbeaver,Pinpoint,Spring Framework,Guava,
,Neo4j,,Eclipse JDT Core,Pentaho Platform,Spring Boot,MinecraftForge,
,Kafka,,J2ObjC,Pentaho Kettle,FrameworkBenchmarks,JUnit 5,
,,,,OpenRefine,Netty,,
,,,,graylog,tutorials,,
,,,,jabref,Cas,,
,,,,Lucene,,,
,,,,jmeter,,,
